#options: 640x480 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=24 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=24.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:34 out:34 type:B dur:2 cpbdur:2 q:29.26 aq:20.70 tex:125 mv:333 misc:222 imb:1 pmb:19 smb:1180 d:- ref:0 ;
in:33 out:35 type:b dur:2 cpbdur:2 q:29.26 aq:14.00 tex:12 mv:113 misc:171 imb:0 pmb:10 smb:1190 d:- ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:29.26 aq:14.00 tex:9 mv:145 misc:190 imb:0 pmb:9 smb:1191 d:- ref:0 ;
in:40 out:37 type:P dur:2 cpbdur:2 q:29.26 aq:12.99 tex:1948 mv:616 misc:236 imb:8 pmb:46 smb:1146 d:- ref:0 ;
in:38 out:38 type:B dur:2 cpbdur:2 q:29.26 aq:13.00 tex:16 mv:342 misc:250 imb:0 pmb:22 smb:1178 d:- ref:0 ;
in:37 out:39 type:b dur:2 cpbdur:2 q:29.26 aq:14.00 tex:13 mv:188 misc:191 imb:1 pmb:10 smb:1189 d:- ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:29.26 aq:14.00 tex:15 mv:259 misc:206 imb:1 pmb:16 smb:1183 d:- ref:0 ;
in:44 out:41 type:P dur:2 cpbdur:2 q:29.26 aq:18.12 tex:2304 mv:695 misc:249 imb:12 pmb:45 smb:1143 d:- ref:0 ;
in:42 out:42 type:B dur:2 cpbdur:2 q:29.26 aq:24.97 tex:419 mv:470 misc:247 imb:0 pmb:29 smb:1171 d:- ref:0 ;
in:41 out:43 type:b dur:2 cpbdur:2 q:29.26 aq:14.00 tex:29 mv:332 misc:199 imb:4 pmb:17 smb:1179 d:- ref:0 ;
in:43 out:44 type:b dur:2 cpbdur:2 q:29.26 aq:22.81 tex:101 mv:266 misc:209 imb:1 pmb:17 smb:1182 d:- ref:0 ;
in:48 out:45 type:P dur:2 cpbdur:2 q:29.26 aq:20.20 tex:1739 mv:568 misc:253 imb:9 pmb:34 smb:1157 d:- ref:0 ;
in:46 out:46 type:B dur:2 cpbdur:2 q:29.26 aq:22.38 tex:206 mv:502 misc:244 imb:0 pmb:25 smb:1175 d:- ref:0 ;
in:45 out:47 type:b dur:2 cpbdur:2 q:29.26 aq:22.83 tex:54 mv:184 misc:210 imb:0 pmb:15 smb:1185 d:- ref:0 ;
in:47 out:48 type:b dur:2 cpbdur:2 q:29.26 aq:14.00 tex:11 mv:276 misc:209 imb:0 pmb:17 smb:1183 d:- ref:0 ;
in:52 out:49 type:P dur:2 cpbdur:2 q:29.26 aq:12.40 tex:2156 mv:578 misc:250 imb:12 pmb:36 smb:1152 d:- ref:0 ;
in:50 out:50 type:B dur:2 cpbdur:2 q:29.26 aq:15.67 tex:247 mv:474 misc:239 imb:1 pmb:31 smb:1168 d:- ref:0 ;
in:49 out:51 type:b dur:2 cpbdur:2 q:29.26 aq:14.00 tex:14 mv:297 misc:209 imb:0 pmb:20 smb:1180 d:- ref:0 ;
in:51 out:52 type:b dur:2 cpbdur:2 q:29.26 aq:20.23 tex:69 mv:337 misc:218 imb:2 pmb:21 smb:1177 d:- ref:0 ;
in:56 out:53 type:P dur:2 cpbdur:2 q:29.26 aq:19.92 tex:2004 mv:624 misc:252 imb:11 pmb:34 smb:1155 d:- ref:0 ;
in:54 out:54 type:B dur:2 cpbdur:2 q:29.26 aq:22.94 tex:225 mv:615 misc:248 imb:2 pmb:25 smb:1173 d:- ref:0 ;
in:53 out:55 type:b dur:2 cpbdur:2 q:29.26 aq:24.44 tex:123 mv:371 misc:218 imb:0 pmb:22 smb:1178 d:- ref:0 ;
in:55 out:56 type:b dur:2 cpbdur:2 q:29.26 aq:24.81 tex:129 mv:339 misc:212 imb:0 pmb:22 smb:1178 d:- ref:0 ;
in:60 out:57 type:P dur:2 cpbdur:2 q:29.26 aq:18.87 tex:2193 mv:636 misc:227 imb:24 pmb:33 smb:1143 d:- ref:0 ;
in:58 out:58 type:B dur:2 cpbdur:2 q:29.26 aq:23.95 tex:73 mv:649 misc:254 imb:1 pmb:36 smb:1163 d:- ref:0 ;
in:57 out:59 type:b dur:2 cpbdur:2 q:29.26 aq:14.02 tex:79 mv:246 misc:203 imb:2 pmb:15 smb:1183 d:- ref:0 ;
in:59 out:60 type:b dur:2 cpbdur:2 q:29.26 aq:22.00 tex:206 mv:375 misc:211 imb:1 pmb:22 smb:1177 d:- ref:0 ;
in:64 out:61 type:P dur:2 cpbdur:2 q:29.26 aq:11.86 tex:2428 mv:536 misc:252 imb:16 pmb:29 smb:1155 d:- ref:0 ;
in:62 out:62 type:B dur:2 cpbdur:2 q:29.26 aq:22.68 tex:211 mv:585 misc:236 imb:1 pmb:27 smb:1172 d:- ref:0 ;
in:61 out:63 type:b dur:2 cpbdur:2 q:29.26 aq:25.46 tex:91 mv:326 misc:215 imb:0 pmb:21 smb:1179 d:- ref:0 ;
in:63 out:64 type:b dur:2 cpbdur:2 q:29.26 aq:15.80 tex:120 mv:355 misc:205 imb:1 pmb:24 smb:1175 d:- ref:0 ;
in:68 out:65 type:P dur:2 cpbdur:2 q:29.26 aq:13.53 tex:1796 mv:690 misc:234 imb:12 pmb:42 smb:1146 d:- ref:0 ;
in:66 out:66 type:B dur:2 cpbdur:2 q:29.26 aq:23.47 tex:289 mv:455 misc:248 imb:0 pmb:29 smb:1171 d:- ref:0 ;
in:65 out:67 type:b dur:2 cpbdur:2 q:29.26 aq:14.00 tex:19 mv:291 misc:210 imb:2 pmb:19 smb:1179 d:- ref:0 ;
in:67 out:68 type:b dur:2 cpbdur:2 q:29.26 aq:14.00 tex:16 mv:278 misc:218 imb:0 pmb:19 smb:1181 d:- ref:0 ;
in:72 out:69 type:P dur:2 cpbdur:2 q:29.26 aq:17.81 tex:2064 mv:665 misc:239 imb:8 pmb:44 smb:1148 d:- ref:0 ;
in:70 out:70 type:B dur:2 cpbdur:2 q:29.26 aq:14.43 tex:310 mv:525 misc:245 imb:2 pmb:27 smb:1171 d:- ref:0 ;
in:69 out:71 type:b dur:2 cpbdur:2 q:29.26 aq:14.00 tex:15 mv:350 misc:227 imb:0 pmb:21 smb:1179 d:- ref:0 ;
in:71 out:72 type:b dur:2 cpbdur:2 q:29.26 aq:25.77 tex:122 mv:292 misc:202 imb:0 pmb:20 smb:1180 d:- ref:0 ;
in:76 out:73 type:P dur:2 cpbdur:2 q:29.26 aq:13.91 tex:1565 mv:658 misc:241 imb:4 pmb:45 smb:1151 d:- ref:0 ;
in:74 out:74 type:B dur:2 cpbdur:2 q:29.26 aq:21.69 tex:214 mv:501 misc:245 imb:0 pmb:31 smb:1169 d:- ref:0 ;
in:73 out:75 type:b dur:2 cpbdur:2 q:29.26 aq:20.26 tex:89 mv:320 misc:207 imb:0 pmb:20 smb:1180 d:- ref:0 ;
