#options: 640x480 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=24 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=24.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:34 out:34 type:B dur:2 cpbdur:2 q:29.26 aq:23.37 tex:167 mv:329 misc:232 imb:1 pmb:21 smb:1178 d:- ref:0 ;
in:33 out:35 type:b dur:2 cpbdur:2 q:29.26 aq:24.05 tex:61 mv:121 misc:170 imb:0 pmb:8 smb:1192 d:- ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:29.26 aq:14.00 tex:9 mv:133 misc:178 imb:0 pmb:8 smb:1192 d:- ref:0 ;
in:40 out:37 type:P dur:2 cpbdur:2 q:29.26 aq:22.07 tex:1980 mv:588 misc:248 imb:11 pmb:39 smb:1150 d:- ref:0 ;
in:38 out:38 type:B dur:2 cpbdur:2 q:29.26 aq:20.57 tex:75 mv:324 misc:241 imb:1 pmb:19 smb:1180 d:- ref:0 ;
in:37 out:39 type:b dur:2 cpbdur:2 q:29.26 aq:14.00 tex:12 mv:199 misc:189 imb:0 pmb:13 smb:1187 d:- ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:29.26 aq:14.00 tex:17 mv:230 misc:193 imb:1 pmb:15 smb:1184 d:- ref:0 ;
in:44 out:41 type:P dur:2 cpbdur:2 q:29.26 aq:11.04 tex:2258 mv:643 misc:251 imb:15 pmb:39 smb:1146 d:- ref:0 ;
in:42 out:42 type:B dur:2 cpbdur:2 q:29.26 aq:14.27 tex:344 mv:523 misc:245 imb:2 pmb:29 smb:1169 d:- ref:0 ;
in:41 out:43 type:b dur:2 cpbdur:2 q:29.26 aq:14.00 tex:21 mv:259 misc:200 imb:3 pmb:15 smb:1182 d:- ref:0 ;
in:43 out:44 type:b dur:2 cpbdur:2 q:29.26 aq:24.86 tex:128 mv:261 misc:203 imb:0 pmb:21 smb:1179 d:- ref:0 ;
in:48 out:45 type:P dur:2 cpbdur:2 q:29.26 aq:20.20 tex:1811 mv:601 misc:252 imb:10 pmb:37 smb:1153 d:- ref:0 ;
in:46 out:46 type:B dur:2 cpbdur:2 q:29.26 aq:23.78 tex:250 mv:485 misc:241 imb:0 pmb:25 smb:1175 d:- ref:0 ;
in:45 out:47 type:b dur:2 cpbdur:2 q:29.26 aq:14.09 tex:73 mv:267 misc:204 imb:1 pmb:16 smb:1183 d:- ref:0 ;
in:47 out:48 type:b dur:2 cpbdur:2 q:29.26 aq:24.80 tex:107 mv:253 misc:208 imb:0 pmb:18 smb:1182 d:- ref:0 ;
in:52 out:49 type:P dur:2 cpbdur:2 q:29.26 aq:11.30 tex:2204 mv:557 misc:247 imb:16 pmb:31 smb:1153 d:- ref:0 ;
in:50 out:50 type:B dur:2 cpbdur:2 q:29.26 aq:15.46 tex:272 mv:525 misc:243 imb:2 pmb:31 smb:1167 d:- ref:0 ;
in:49 out:51 type:b dur:2 cpbdur:2 q:29.26 aq:23.85 tex:63 mv:353 misc:200 imb:0 pmb:20 smb:1180 d:- ref:0 ;
in:51 out:52 type:b dur:2 cpbdur:2 q:29.26 aq:14.00 tex:21 mv:289 misc:218 imb:1 pmb:21 smb:1178 d:- ref:0 ;
in:56 out:53 type:P dur:2 cpbdur:2 q:29.26 aq:20.75 tex:2108 mv:661 misc:239 imb:13 pmb:37 smb:1150 d:- ref:0 ;
in:54 out:54 type:B dur:2 cpbdur:2 q:29.26 aq:23.01 tex:327 mv:594 misc:239 imb:2 pmb:25 smb:1173 d:- ref:0 ;
in:53 out:55 type:b dur:2 cpbdur:2 q:29.26 aq:21.91 tex:104 mv:397 misc:211 imb:0 pmb:20 smb:1180 d:- ref:0 ;
in:55 out:56 type:b dur:2 cpbdur:2 q:29.26 aq:25.05 tex:131 mv:361 misc:212 imb:1 pmb:22 smb:1177 d:- ref:0 ;
in:60 out:57 type:P dur:2 cpbdur:2 q:29.26 aq:12.54 tex:2137 mv:639 misc:256 imb:17 pmb:34 smb:1149 d:- ref:0 ;
in:58 out:58 type:B dur:2 cpbdur:2 q:29.26 aq:22.70 tex:153 mv:613 misc:250 imb:1 pmb:34 smb:1165 d:- ref:0 ;
in:57 out:59 type:b dur:2 cpbdur:2 q:29.26 aq:16.58 tex:114 mv:399 misc:207 imb:2 pmb:23 smb:1175 d:- ref:0 ;
in:59 out:60 type:b dur:2 cpbdur:2 q:29.26 aq:14.57 tex:127 mv:363 misc:222 imb:1 pmb:22 smb:1177 d:- ref:0 ;
in:64 out:61 type:P dur:2 cpbdur:2 q:29.26 aq:11.84 tex:2240 mv:578 misc:246 imb:21 pmb:31 smb:1148 d:- ref:0 ;
in:62 out:62 type:B dur:2 cpbdur:2 q:29.26 aq:21.29 tex:149 mv:582 misc:229 imb:1 pmb:26 smb:1173 d:- ref:0 ;
in:61 out:63 type:b dur:2 cpbdur:2 q:29.26 aq:24.92 tex:85 mv:321 misc:218 imb:0 pmb:20 smb:1180 d:- ref:0 ;
in:63 out:64 type:b dur:2 cpbdur:2 q:29.26 aq:14.97 tex:78 mv:366 misc:204 imb:1 pmb:24 smb:1175 d:- ref:0 ;
in:68 out:65 type:P dur:2 cpbdur:2 q:29.26 aq:20.93 tex:1802 mv:630 misc:248 imb:11 pmb:37 smb:1152 d:- ref:0 ;
in:66 out:66 type:B dur:2 cpbdur:2 q:29.26 aq:21.84 tex:326 mv:396 misc:254 imb:0 pmb:26 smb:1174 d:- ref:0 ;
in:65 out:67 type:b dur:2 cpbdur:2 q:29.26 aq:14.00 tex:17 mv:262 misc:209 imb:1 pmb:20 smb:1179 d:- ref:0 ;
in:67 out:68 type:b dur:2 cpbdur:2 q:29.26 aq:19.54 tex:64 mv:259 misc:213 imb:0 pmb:15 smb:1185 d:- ref:0 ;
in:72 out:69 type:P dur:2 cpbdur:2 q:29.26 aq:19.58 tex:2182 mv:638 misc:228 imb:18 pmb:36 smb:1146 d:- ref:0 ;
in:70 out:70 type:B dur:2 cpbdur:2 q:29.26 aq:14.85 tex:297 mv:557 misc:234 imb:1 pmb:26 smb:1173 d:- ref:0 ;
in:69 out:71 type:b dur:2 cpbdur:2 q:29.26 aq:14.00 tex:12 mv:319 misc:229 imb:0 pmb:21 smb:1179 d:- ref:0 ;
in:71 out:72 type:b dur:2 cpbdur:2 q:29.26 aq:14.00 tex:14 mv:321 misc:209 imb:0 pmb:21 smb:1179 d:- ref:0 ;
in:76 out:73 type:P dur:2 cpbdur:2 q:29.26 aq:18.85 tex:1660 mv:607 misc:261 imb:6 pmb:38 smb:1156 d:- ref:0 ;
in:74 out:74 type:B dur:2 cpbdur:2 q:29.26 aq:23.08 tex:181 mv:452 misc:255 imb:0 pmb:28 smb:1172 d:- ref:0 ;
in:73 out:75 type:b dur:2 cpbdur:2 q:29.26 aq:23.91 tex:91 mv:255 misc:206 imb:0 pmb:19 smb:1181 d:- ref:0 ;
